city,latitude,longitude,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m
"Sector-25, Chandigarh - CPCC",30.751462,76.762879,14.41,727.78,5000.0,2014.59
"Polayathode, Kollam - Kerala PCB",8.8787,76.6073,5.28,978.11,1631.97,5000.0
"Sahilara, Maihar - KJS Cements",24.2613009,80.7231783,5000.0,5000.0,5000.0,5000.0
"Ballygunge, Kolkata - WBPCB",22.5367507,88.3638022,1.29,70.69,4146.43,1651.45
"Sanjay Nagar, Ghaziabad - UPPCB",28.685382,77.453839,28.43,1322.25,5373.99,5000.0
"New Industrial Town, Faridabad - HSPCB",28.39072,77.30059,16.93,151.7,4499.1,5000.0
"NISE Gwal Pahari, Gurugram - IMD",28.422681,77.148944,21.55,1313.09,2521.28,3417.2
"Vinoba Nagara, Shivamogga - KSPCB",13.94,75.555917,16.58,250.12,4706.56,5000.0
"Royapuram, Chennai - TNPCB",13.1036,80.2909,6.75,2.19,3539.98,1705.87
"Kodungaiyur, Chennai - TNPCB",13.1278,80.2642,8.55,408.2,535.46,421.14
"Meelavittan, Thoothukudi - TNPCB",8.816428,78.099039,12.26,141.68,5838.51,2073.7
"Arumbakkam, Chennai - TNPCB",13.0664,80.2112,6.24,467.08,1691.11,3517.4
"Stuart Hill, Madikeri - KSPCB",12.415911,75.73505,30.92,182.34,1196.08,1715.57
"Chandni Chowk, Delhi - IITM",28.656756,77.227234,16.65,1343.9,2023.88,3179.98
"Borivali East, Mumbai - IITM",19.23241,72.86895,23.88,796.32,3084.18,3415.4
"Mhada Colony, Pune - IITM",18.57304,73.927715,39.51,1226.67,2253.98,5000.0
"Transport Nagar-Nigdi, Pune - IITM",18.664282,73.763966,24.46,1640.59,714.69,5000.0
"Malad West, Mumbai - IITM",19.19709,72.82204,30.71,17.74,5256.62,4387.97
"Revenue Colony-Shivajinagar, Pune - IITM",18.530085,73.849598,7.72,37.2,806.39,5000.0
"Chakala-Andheri East, Mumbai - IITM",19.11074,72.86084,21.33,128.2,676.42,6468.07
"Khindipada-Bhandup West, Mumbai - IITM",19.164394,72.928297,13.41,38.28,2362.1,816.37
"Mulund West, Mumbai - MPCB",19.175,72.9419,10.25,1.25,2183.23,780.01
"Diwator Nagar, Koppal - KSPCB",15.34763,76.181767,42.59,0.0,5000.0,5000.0
"Kandivali East, Mumbai - MPCB",19.2058,72.8682,3.06,7.6,4345.32,5389.74
"Perungudi, Chennai - TNPCB",12.9533,80.2357,2.35,84.8,4810.76,260.15
"Pan Bazaar, Guwahati - APCB",26.1875,91.744194,17.71,918.82,5000.0,5000.0
"Kadri, Mangalore - KSPCB",12.88925,74.853,39.84,57.04,853.39,4599.93
"Naubad, Bidar - KSPCB",17.930306,77.482194,38.96,0.0,702.74,5000.0
"Anthoni Pillai Nagar, Gummidipoondi - TNPCB",13.4127,80.1081,69.26,0.0,5000.0,340.7
"Devaraj Urs Badavane, Davanagere - KSPCB",14.4758,75.9052,0.69,844.74,3714.4,5000.0
"Hadapsar, Pune - IITM",18.501793,73.927532,9.42,306.74,1147.45,5000.0
"Jawahar Nagar, Puducherry - PPCC",11.9309,79.8027,15.59,796.05,550.92,2207.89
"Rajbagh, Srinagar - JKSPCB",34.06621,74.81982,30.21,863.28,1438.88,5717.47
"Naharlagun, Naharlagun - APSPCB",27.103358,93.679645,38.16,2658.56,5000.0,5000.0
"Jhunsi, Prayagraj - UPPCB",25.425602,81.917152,5.24,954.13,1755.64,5000.0
"B R Ambedkar University, Lucknow - UPPCB",26.766433000000003,80.927299,5.89,3116.82,2505.72,5000.0
"Motilal Nehru NIT, Prayagraj - UPPCB",25.494,81.863,24.89,3285.57,3244.58,5000.0
"Rakhial, Ahmedabad - IITM",23.016834,72.625775,61.18,175.39,4892.63,5000.0
"Gyaspur, Ahmedabad - IITM",22.977134,72.553024,111.9,459.83,230.96,993.87
"Manoharpur, Agra - UPPCB",27.23711,78.01935999999999,47.88,2746.0,2539.62,5000.0
"Chandkheda, Ahmedabad - IITM",23.107969,72.574648,51.66,1054.89,3179.04,5000.0
"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19412,77.96236999999999,1.57,845.73,759.25,5000.0
"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874,57.64,1416.26,6227.61,5000.0
"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201,19.14,401.75,4431.78,7351.22
