city,latitude,longitude,temperature,humidity,wind_speed,wind_direction
"Manoharpur, Agra - UPPCB",27.23711,78.01935999999999,23.94,20,1.31,352
"Chandkheda, Ahmedabad - IITM",23.107969,72.574648,27.78,15,4.05,345
"Sector-3B Avas Vikas Colony, Agra - UPPCB",27.19412,77.96236999999999,23.94,20,1.49,2
"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874,28.15,15,3.9,342
"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201,27.74,16,3.71,349
"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,26.15,17,4.55,336
"SAC ISRO Bopal, Ahmedabad - IITM",23.041137,72.456691,27.33,16,3.94,350
"Shastripuram, Agra - UPPCB",27.19862,77.92066,23.74,20,1.53,2
"IESD Banaras Hindu University, Varanasi - UPPCB",25.262326,82.995408,23.17,39,2.52,86
"Bhelupur, Varanasi - UPPCB",25.301778,82.996789,23.31,41,2.66,85
"Madan Mohan Malaviya University of Technology, Gorakhpur - UPPCB",26.730136,83.433859,23.47,52,3.33,125
"Maldahiya, Varanasi - UPPCB",25.32393,82.99687,23.47,42,2.88,84
"NSI Kalyanpur, Kanpur - UPPCB",26.509954,80.249612,23.1,24,2.22,1
"Kukrail Picnic Spot-1, Lucknow - UPPCB",26.90723,80.98579000000001,23.22,23,0.97,30
"Kamalnath Nagar, Bettiah - BSPCB",26.80365,84.51954,23.05,51,2.37,107
"Nagla Bhau, Firozabad - UPPCB",27.168897,78.37696,22.7,22,1.13,9
"Gandak Colony, Motihari - BSPCB",26.63086,84.90051,22.7,52,2.27,100
"D M Colony, Bihar Sharif - BSPCB",25.204762,85.51496,25.26,55,3.48,106
"MIT-Daudpur Kothi, Muzaffarpur - BSPCB",26.1403345,85.3650192,23.86,52,3.26,115
"Omex Eternity, Vrindavan - UPPCB",27.571409000000003,77.655757,22.68,23,1.3,329
"Sector 22, Chandigarh - CPCC",30.735567,76.77571400000001,21.75,24,2.47,118
"Nagar Nigam, Prayagraj - UPPCB",25.44919916,81.82735986,24.89,23,0.77,39
"FTI Kidwai Nagar, Kanpur - UPPCB",26.428282,80.327067,23.26,24,2.24,359
"Dharmapuri, Agra - UPPCB",27.169338,78.03582,24.04,20,1.55,6
"Mangala, Bilaspur - CECB",22.08815,82.13736999999999,23.05,24,2.59,348
"Employment Office, Moradabad - UPPCB",28.88528,78.7388,20.85,26,2.31,72
"Dada Peer, Sasaram - BSPCB",24.952822,84.00239599999999,23.12,53,1.63,109
"Town Hall, Munger - BSPCB",25.376776,86.471523,24.02,62,2.32,124
"Civic Center, Bhilai - Bhilai Steel Plant",21.185571,81.343175,25.83,24,3.48,0
"Mirchaibari, Katihar - BSPCB",25.560083,87.553265,24.89,58,2.23,182
"Mayaganj, Bhagalpur - BSPCB",25.265194,87.012947,23.91,62,2.17,151
"DM Office_Kachari Chowk, Bhagalpur - BSPCB",25.251013,86.989001,23.82,62,2.31,154
"Kareemganj, Gaya - BSPCB",24.792403,84.992416,24.81,54,2.69,100
"Mariam Nagar, Purnia - BSPCB",25.765657,87.466829,24.68,59,2.15,168
"Chitragupta Nagar, Siwan - BSPCB",26.2271665,84.35704270000001,23.25,55,2.61,104
