location_id,name,latitude,longitude,pollutants,timezone
177,Sheldon C551,29.8586111,-95.1602778,o3,America/Chicago
178,Conroe Relocated C78/A321,30.3503017,-95.4251278,"no2,o3",America/Chicago
179,Texas City 34th St. C620,29.4057,-94.94712,"no2,o3",America/Chicago
180,Channelview C15/AH115,29.8027073,-95.1254948,"no2,o3",America/Chicago
181,Houston Southwest Freeway C1066,29.7216,-95.49265,no2,America/Chicago
183,Lynchburg Ferry C1015/A165,29.7616528,-95.0813861,"no2,o3",America/Chicago
184,Crosby Library C553,29.9208333,-95.0683333,o3,America/Chicago
186,Houston Aldine C8,29.9011,-95.3261,"no2,o3,pm25",America/Chicago
187,Houston Bayland Park,29.6958,-95.4992,"no2,o3,pm25",America/Chicago
188,Houston Croquet C409,29.6239,-95.4742,"o3,so2",America/Chicago
189,Atascocita C560,29.961944,-95.235,o3,America/Chicago
190,Huffman Wolf Road C563,30.05786,-95.06147,o3,America/Chicago
191,Seabrook Friendship,29.5831,-95.0156,"o3,pm25",America/Chicago
192,Lang C408,29.8342,-95.4892,"no2,o3",America/Chicago
193,Houston Monroe C406,29.6256,-95.2672,"o3,so2",America/Chicago
194,Houston North Wayside C405,29.8280859,-95.2840958,"o3,so2",America/Chicago
195,Houston Park Place C,29.68639,-95.294724,"no2,o3,pm25,so2",America/Chicago
196,West Houston C554,29.8330556,-95.6569444,o3,America/Chicago
197,Baytown Wetlands Center C552,29.7330556,-94.9847222,o3,America/Chicago
198,Bunker Hill Village C562,29.778333,-95.538056,o3,America/Chicago
199,Baytown Garth C1017,29.823319,-94.983786,"o3,so2",America/Chicago
200,Meyer Park C561,30.011667,-95.5225,o3,America/Chicago
202,Galveston 99th St. C1034/A320/X183,29.2544736,-94.8612886,"no2,o3",America/Chicago
203,Katy Park C559,29.8105556,-95.8061111,o3,America/Chicago
204,Manvel Croix Park C84,29.5204432,-95.3925089,"no2,o3",America/Chicago
205,Northwest Harris Co. C26/A110/X154,30.039524,-95.6739508,"no2,o3",America/Chicago
206,Tom Bass C558,29.5894444,-95.3536111,o3,America/Chicago
207,MMFRA1001,39.482481,-121.221235,pm25,America/Los_Angeles
209,Tooele,40.539299,-112.299797,pm25,America/Denver
210,Liceo Polivalente,-36.601713211434,-72.958522830688,"no2,o3,pm10,pm25,so2",America/Santiago
211,Felton Cal-Fire,37.0481,-122.074603,pm25,America/Los_Angeles
212,ROLAND,35.408138,-94.524414,"no,no2,nox,o3,pm10,pm25",America/Chicago
213,Twin Falls PM25,42.565089,-114.494717,pm25,America/Boise
214,MMFRA1001,39.482385,-121.221128,pm25,America/Los_Angeles
215,Unionville,43.61,-83.36,o3,America/Detroit
216,South Bend-Shields D,41.696667,-86.214722,"no2,o3,pm25",America/Indiana/Indianapolis
217,Lafayette-Greenbush,40.431667,-86.8525,pm25,America/Indiana/Indianapolis
218,Ogden Dunes,41.617814,-87.199533,"o3,pm25",America/Chicago
219,Columbus - Rocky For,39.237457,-85.891332,pm25,America/Indiana/Indianapolis
220,Larwill,41.169722,-85.629444,"no2,pm25,so2",America/Indiana/Indianapolis
221,Indpls-Washington Pa,39.810833,-86.114444,"co,no2,o3,pm10,pm25,so2",America/Indiana/Indianapolis
222,Terre Haute-Lafayett,39.485987,-87.401312,"o3,pm25,so2",America/Indiana/Indianapolis
223,Gary-IITRI,41.606563,-87.305015,"bc,no2,o3,pm10,pm25,so2",America/Chicago
224,Fort Wayne-Beacon St,41.094965,-85.101816,"o3,pm25",America/Indiana/Indianapolis
225,New Albany,38.30703,-85.832974,"o3,pm25,so2",America/Kentucky/Louisville
226,Elkhart-Prairie St.,41.657155,-85.968446,"bc,pm25",America/Indiana/Indianapolis
227,Kokomo - E. Vaile Av,40.481347,-86.109688,"o3,pm25",America/Indiana/Indianapolis
228,Fishers,39.960884,-85.939546,pm25,America/Indiana/Indianapolis
229,Caddo Valley,34.1795,-93.0988,o3,America/Chicago
230,Barstow,34.894054,-117.024756,"o3,pm10",America/Los_Angeles
231,Lucerne Valley,34.4101,-116.906874,"o3,pm10",America/Los_Angeles
232,Trona - Athol and Te,35.774455,-117.372109,"o3,pm10",America/Los_Angeles
233,Spokane Valley-E Bro,47.663962,-117.25765,"pm10,pm25",America/Los_Angeles
234,Enterprise - US Fore,45.426351,-117.296066,pm25,America/Los_Angeles
235,"Anand Vihar, New Delhi - DPCC",28.646835,77.316032,"co,co,no,no2,no2,nox,o3,o3,pm10,pm10,pm25,pm25,relativehumidity,so2,so2,temperature,wind_direction,wind_speed",Asia/Kolkata
236,"Mandir Marg, Delhi - DPCC",28.6341,77.2005,"co,no2,o3,pm10,pm25,so2",Asia/Kolkata
237,San Ysidro,32.543475,-117.029028,pm25,America/Los_Angeles
238,Maryland Heights,38.7108,-90.4758,o3,America/Chicago
239,Alamo Lake,34.243889,-113.558611,"o3,pm10,pm25,so2",America/Phoenix
240,Waterbury,41.5503,-73.0442,"pm10,pm25",America/New_York
241,Pernis-Soetemanweg,51.8879,4.38881,"no2,pm10",Europe/Amsterdam
242,Potawatomi,45.5639,-88.81,"no2,o3,pm25,so2",America/Chicago
243,ELDOSPGS,37.695801,-94.037498,"o3,pm25",America/Chicago
244,Liberty,39.303056,-94.376389,"o3,pm25",America/Chicago
245,Pacific,38.490299,-90.705299,o3,America/Chicago
246,Hillcrest HS,37.256136,-93.299886,"o3,pm10,pm25",America/Chicago
247,CARTHAGE,37.198286,-94.317246,pm10,America/Chicago
248,MRGRETTA,38.673172,-90.239086,"no2,pm10,so2",America/Chicago
249,Farrar,37.701893,-89.697655,o3,America/Chicago
250,ARNOLD,38.448633,-90.39854,"o3,pm10,pm25",America/Chicago
251,Fellows Lake,37.31951,-93.204635,o3,America/Chicago
252,Buick NE,37.652142,-91.11689,so2,America/Chicago
253,BONTERRE,37.8969,-90.4222,o3,America/Chicago
254,WEST ALTON,38.8708,-90.224403,o3,America/Chicago
