date,pm2_5,pm10,no2,so2,co,ozone,station
2025-04-09,17.87,64.7,16.89,4.53,0.7528387096774194,27.73,BENGELURU
2025-04-10,17.41,77.53526315789475,16.79,3.6,0.58,27.72,BENGELURU
2025-04-11,18.61,75.5,22.24,7.85,0.77,21.24,BENGELURU
2025-04-12,14.88,48.34,18.78,7.33,0.68,25.22,BENGELURU
2025-05-01,45.6,89.51,17.17,7.2,1.01,32.13,BENGELURU
2025-05-02,24.91042944785276,77.53526315789475,17.70012195121951,6.292418300653595,0.7528387096774194,26.116134969325156,BENGELURU
2025-05-03,47.52,93.27,17.57,10.71,0.38,29.49,BENGELURU
2025-05-04,21.67,56.39,15.82,5.55,0.78,28.57,BENGELURU
2025-05-05,18.3,67.55,15.64,5.49,1.07,27.02,BENGELURU
2025-05-06,30.69,97.45,15.89,6.23,0.53,21.37,BENGELURU
2025-05-07,15.54,65.42,16.42,3.81,0.94,24.77,BENGELURU
2025-05-08,15.77,59.05,16.87,5.18,0.88,25.77,BENGELURU
2025-05-09,18.36,74.39,16.89,4.06,0.7528387096774194,27.84,BENGELURU
2025-05-10,16.06,77.53526315789475,16.72,3.45,0.48,27.76,BENGELURU
2025-05-11,15.87,67.3,22.43,7.87,0.73,19.23,BENGELURU
2025-05-12,18.64,48.83,19.5,8.13,0.72,25.16,BENGELURU
2025-06-01,50.15,98.44,16.77,7.5,0.93,32.06,BENGELURU
2025-06-02,38.21,74.95,17.55,7.75,0.02,62.09,BENGELURU
2025-06-03,50.83,99.76,17.81,6.292418300653595,0.59,29.33,BENGELURU
2025-06-04,21.36,58.54,15.68,6.93,0.9,39.54,BENGELURU
2025-06-05,21.6,63.6,15.81,6.86,0.22,27.06,BENGELURU
2025-06-06,31.36,104.0,15.41,4.56,0.65,24.9,BENGELURU
2025-06-07,15.84,63.95,17.09,2.9,0.9,24.74,BENGELURU
2025-06-08,15.67,56.6,17.2,4.67,0.89,25.68,BENGELURU
2025-06-09,18.75,68.48,16.53,4.19,0.7528387096774194,27.84,BENGELURU
2025-06-10,16.66,77.53526315789475,16.47,4.41,0.53,27.79,BENGELURU
2025-06-11,17.88,69.56,23.16,7.69,0.75,19.23,BENGELURU
2025-06-12,20.73,54.51,19.62,7.09,0.72,25.28,BENGELURU
2025-07-01,48.11,94.44,16.84,7.07,1.06,32.06,BENGELURU
2025-07-02,41.22,80.93,17.68,8.21,1.05,62.09,BENGELURU
2025-07-03,24.91042944785276,77.53526315789475,17.43,6.292418300653595,0.83,29.6,BENGELURU
