city,latitude,longitude,pollutant,value,last_updated
"Anam Kala Kendram, Rajamahendravaram - APPCB",16.9872867,81.7363176,so2,7.1,2026-03-03T12:30:00Z
"Anam Kala Kendram, Rajamahendravaram - APPCB",16.9872867,81.7363176,co,0.48,2026-03-03T12:30:00Z
"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,no2,46.0976,2026-03-03T12:15:00Z
"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,pm10,149.7,2026-03-03T12:15:00Z
"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,co,0.32060000000000005,2026-03-03T12:15:00Z
"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,o3,166.6784,2026-03-03T12:15:00Z
"North Campus, DU, Delhi - IMD",28.6573814,77.1585447,pm25,47.9,2026-03-03T12:15:00Z
"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,pm10,93.2,2026-03-03T12:15:00Z
"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,no2,34.4,2026-03-03T12:15:00Z
"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,o3,49.32,2026-03-03T12:15:00Z
"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,co,0.32,2026-03-03T12:15:00Z
"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,pm25,48.8,2026-03-03T12:15:00Z
"Shastri Nagar, Jaipur - RSPCB",26.9502929,75.730943,so2,16.18,2026-03-03T12:15:00Z
"ITO, New Delhi - CPCB",28.628624,77.24106,pm25,49.0,2026-03-03T12:15:00Z
"ITO, New Delhi - CPCB",28.628624,77.24106,co,0.491,2026-03-03T12:15:00Z
"ITO, New Delhi - CPCB",28.628624,77.24106,o3,52.5,2026-03-03T12:15:00Z
"ITO, New Delhi - CPCB",28.628624,77.24106,pm10,68.0,2026-03-03T12:15:00Z
"ITO, New Delhi - CPCB",28.628624,77.24106,no2,32.8,2026-03-03T12:15:00Z
"ITO, New Delhi - CPCB",28.628624,77.24106,so2,19.6,2026-03-03T12:15:00Z
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,no2,40.7,2026-03-03T12:30:00Z
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,o3,42.06,2026-03-03T12:30:00Z
"Padmapukur, Howrah - WBPCB",22.5687319,88.2797276,co,0.26,2026-03-03T12:30:00Z
