station,date,to_date,pm25,pm10,no2,so2,co,ozone
AHEMEDABAD,2026-10-01,11-01-2026 00:00,55.24,114.15,19.82,9.89,0.62,25.54
AHEMEDABAD,2026-10-02,11-02-2026 00:00,53.16,108.56,8.8,10.58,0.82,20.26
AHEMEDABAD,2026-11-01,12-01-2026 00:00,62.11,124.03,22.23,11.15,0.77,25.13
AHEMEDABAD,2026-11-02,12-02-2026 00:00,61.34,135.09,15.8,11.69,1.01,19.34
AHEMEDABAD,2026-12-01,13-01-2026 00:00,58.89,118.23,24.49,8.92,0.86,30.51
AHEMEDABAD,2026-12-02,13-02-2026 00:00,65.02,149.13,17.06,14.57,1.71,27.64
AHEMEDABAD,,14-01-2025 00:00,35.73,76.89,38.06,14.47,0.0,51.52
AHEMEDABAD,,15-01-2025 00:00,30.04,67.56,37.46,13.95,0.018000000000000002,52.24
AHEMEDABAD,,16-01-2025 00:00,38.61,83.41,37.34,30.01,0.036000000000000004,51.14
AHEMEDABAD,,17-01-2025 00:00,42.87,91.86,38.01,21.25,0.054000000000000006,46.15
AHEMEDABAD,,18-01-2025 00:00,38.7,86.99,39.76,21.99,0.07200000000000001,47.22
AHEMEDABAD,,19-01-2025 00:00,47.29,100.65,38.15,19.78,0.09000000000000001,15.92
AHEMEDABAD,,20-01-2025 00:00,66.83,140.87,38.91,20.81,0.10800000000000001,18.39
AHEMEDABAD,,21-01-2025 00:00,74.51,153.5,41.92,14.33,0.126,7.71
AHEMEDABAD,,22-01-2025 00:00,59.46,122.06,38.41,13.72,0.14400000000000002,14.373333333333333
AHEMEDABAD,,23-01-2025 00:00,52.91,110.64,39.345897435897434,11.87,0.16200000000000003,21.036666666666665
AHEMEDABAD,,24-01-2025 00:00,45.89,95.88,40.281794871794865,11.05,0.18000000000000002,27.7
AHEMEDABAD,,25-01-2025 00:00,40.42,90.07,41.2176923076923,26.88,0.198,36.12
AHEMEDABAD,,26-01-2025 00:00,34.69,74.8,42.15358974358974,54.65,0.21600000000000003,31.84
AHEMEDABAD,,27-01-2025 00:00,41.82,88.1,43.08948717948718,46.31,0.23400000000000004,36.31
AHEMEDABAD,,28-01-2025 00:00,43.39,88.97,44.02538461538461,36.94,0.252,35.62
AHEMEDABAD,,29-01-2025 00:00,52.08,107.91,44.96128205128205,29.33,0.27,41.93
AHEMEDABAD,,30-01-2025 00:00,83.47,165.46,45.897179487179486,28.19,0.28800000000000003,50.33
AHEMEDABAD,,31-01-2025 00:00,40.21,81.48,46.833076923076916,17.6,0.30600000000000005,38.79
AHEMEDABAD,,01-02-2025 00:00,54.67,108.36,47.768974358974354,22.79,0.32400000000000007,37.3
AHEMEDABAD,,14-02-2025 00:00,54.26,107.94,48.70487179487179,11.92,0.342,37.27
AHEMEDABAD,,15-02-2025 00:00,74.68,145.91,49.64076923076922,18.16,0.36000000000000004,36.56
AHEMEDABAD,,16-02-2025 00:00,62.07,119.46,50.57666666666666,40.94,0.37800000000000006,31.25
AHEMEDABAD,,17-02-2025 00:00,48.01,94.3,51.5125641025641,22.75,0.396,24.13
AHEMEDABAD,,18-02-2025 00:00,39.48,75.75,52.44846153846154,19.91,0.41400000000000003,26.31
AHEMEDABAD,,19-02-2025 00:00,38.72451612903225,74.21387096774194,53.384358974358975,15.38,0.43200000000000005,28.27
AHEMEDABAD,,20-02-2025 00:00,37.969032258064516,72.67774193548387,54.320256410256405,20.94,0.45,36.08
AHEMEDABAD,,21-02-2025 00:00,37.21354838709677,71.1416129032258,55.25615384615384,28.77,0.27,28.46
AHEMEDABAD,,22-02-2025 00:00,36.45806451612903,69.60548387096775,56.19205128205128,29.94,0.24,33.7
AHEMEDABAD,,23-02-2025 00:00,35.70258064516129,68.06935483870967,57.12794871794871,18.51,0.2,36.39
AHEMEDABAD,,24-02-2025 00:00,34.94709677419355,66.53322580645161,58.06384615384615,23.77,0.1,39.29
AHEMEDABAD,,25-02-2025 00:00,34.1916129032258,64.99709677419355,58.99974358974359,19.21,0.32,35.61
AHEMEDABAD,,26-02-2025 00:00,33.436129032258066,63.460967741935484,59.93564102564102,15.7,0.46,41.83
AHEMEDABAD,,27-02-2025 00:00,32.68064516129032,61.92483870967742,60.87153846153846,24.13,0.56,43.47
AHEMEDABAD,,28-02-2025 00:00,31.925161290322578,60.38870967741936,61.807435897435894,31.44,0.48,46.43
AHEMEDABAD,,01-03-2025 00:00,31.169677419354837,58.85258064516129,62.743333333333325,29.11,0.24,29.03
AHEMEDABAD,,14-03-2025 00:00,30.414193548387097,57.31645161290322,63.67923076923077,30.87,0.16,43.73
