location_id,name,locality,latitude,longitude,timezone,pollutants_available,isMobile,isMonitor,last_updated_utc
187,Houston Bayland Park,Houston-Sugar Land-Baytown,29.6958,-95.4992,America/Chicago,"no2,o3,pm25",False,True,2026-03-03T11:00:00Z
188,Houston Croquet C409,Houston-Sugar Land-Baytown,29.6239,-95.4742,America/Chicago,"o3,so2",False,True,2026-03-03T11:00:00Z
189,Atascocita C560,Houston-Sugar Land-Baytown,29.961944,-95.235,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
190,Huffman Wolf Road C563,Houston-Sugar Land-Baytown,30.05786,-95.06147,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
191,Seabrook Friendship,Houston-Sugar Land-Baytown,29.5831,-95.0156,America/Chicago,"o3,pm25",False,True,2026-03-03T11:00:00Z
192,Lang C408,Houston-Sugar Land-Baytown,29.8342,-95.4892,America/Chicago,"no2,o3",False,True,2026-03-03T11:00:00Z
193,Houston Monroe C406,Houston-Sugar Land-Baytown,29.6256,-95.2672,America/Chicago,"o3,so2",False,True,2026-03-03T11:00:00Z
194,Houston North Wayside C405,Houston-Sugar Land-Baytown,29.8280859,-95.2840958,America/Chicago,"o3,so2",False,True,2016-03-06T19:00:00Z
195,Houston Park Place C,Houston-Sugar Land-Baytown,29.68639,-95.294724,America/Chicago,"no2,o3,pm25,so2",False,True,2026-03-03T11:00:00Z
196,West Houston C554,Houston-Sugar Land-Baytown,29.8330556,-95.6569444,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
197,Baytown Wetlands Center C552,Houston-Sugar Land-Baytown,29.7330556,-94.9847222,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
198,Bunker Hill Village C562,Houston-Sugar Land-Baytown,29.778333,-95.538056,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
199,Baytown Garth C1017,Houston-Sugar Land-Baytown,29.823319,-94.983786,America/Chicago,"o3,so2",False,True,2026-03-03T11:00:00Z
200,Meyer Park C561,Houston-Sugar Land-Baytown,30.011667,-95.5225,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
202,Galveston 99th St. C1034/A320/X183,Houston-Sugar Land-Baytown,29.2544736,-94.8612886,America/Chicago,"no2,o3",False,True,2016-03-06T19:00:00Z
203,Katy Park C559,Houston-Sugar Land-Baytown,29.8105556,-95.8061111,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
204,Manvel Croix Park C84,Houston-Sugar Land-Baytown,29.5204432,-95.3925089,America/Chicago,"no2,o3",False,True,2016-03-06T19:00:00Z
205,Northwest Harris Co. C26/A110/X154,Houston-Sugar Land-Baytown,30.039524,-95.6739508,America/Chicago,"no2,o3",False,True,2016-03-06T19:00:00Z
206,Tom Bass C558,Houston-Sugar Land-Baytown,29.5894444,-95.3536111,America/Chicago,o3,False,True,2016-03-06T19:00:00Z
207,MMFRA1001,Houston-Sugar Land-Baytown,39.482481,-121.221235,America/Los_Angeles,pm25,False,True,2016-03-16T22:00:00Z
209,Tooele,Houston-Sugar Land-Baytown,40.539299,-112.299797,America/Denver,pm25,False,True,2016-03-07T16:00:00Z
210,Liceo Polivalente,Tomé,-36.601713211434,-72.958522830688,America/Santiago,"no2,o3,pm10,pm25,so2",False,True,2026-03-03T09:00:00Z
211,Felton Cal-Fire,Tomé,37.0481,-122.074603,America/Los_Angeles,pm25,False,True,2022-04-08T18:00:00Z
212,ROLAND,Fort Smith,35.408138,-94.524414,America/Chicago,"no,no2,nox,o3,pm10,pm25",False,True,2026-03-03T11:00:00Z
213,Twin Falls PM25,TWIN FALLS,42.565089,-114.494717,America/Boise,pm25,False,True,2026-03-03T11:00:00Z
214,MMFRA1001,TWIN FALLS,39.482385,-121.221128,America/Los_Angeles,pm25,False,True,2016-03-16T05:00:00Z
215,Unionville,TUSCOLA,43.61,-83.36,America/Detroit,o3,False,True,2026-03-03T11:00:00Z
216,South Bend-Shields D,South Bend-Mishawaka,41.696667,-86.214722,America/Indiana/Indianapolis,"no2,o3,pm25",False,True,2026-03-03T11:00:00Z
217,Lafayette-Greenbush,Lafayette,40.431667,-86.8525,America/Indiana/Indianapolis,pm25,False,True,2026-03-02T10:00:00Z
218,Ogden Dunes,Chicago-Naperville-Joliet,41.617814,-87.199533,America/Chicago,"o3,pm25",False,True,2026-03-03T11:00:00Z
219,Columbus - Rocky For,Columbus,39.237457,-85.891332,America/Indiana/Indianapolis,pm25,False,True,2026-03-02T10:00:00Z
220,Larwill,WHITLEY,41.169722,-85.629444,America/Indiana/Indianapolis,"no2,pm25,so2",False,True,2026-03-03T11:00:00Z
221,Indpls-Washington Pa,Indianapolis,39.810833,-86.114444,America/Indiana/Indianapolis,"co,no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
222,Terre Haute-Lafayett,Terre Haute,39.485987,-87.401312,America/Indiana/Indianapolis,"o3,pm25,so2",False,True,2026-03-03T11:00:00Z
223,Gary-IITRI,Chicago-Naperville-Joliet,41.606563,-87.305015,America/Chicago,"bc,no2,o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
224,Fort Wayne-Beacon St,Chicago-Naperville-Joliet,41.094965,-85.101816,America/Indiana/Indianapolis,"o3,pm25",False,True,2021-09-30T14:00:00Z
225,New Albany,Chicago-Naperville-Joliet,38.30703,-85.832974,America/Kentucky/Louisville,"o3,pm25,so2",False,True,2023-01-04T14:00:00Z
226,Elkhart-Prairie St.,Elkhart-Goshen,41.657155,-85.968446,America/Indiana/Indianapolis,"bc,pm25",False,True,2026-03-03T11:00:00Z
227,Kokomo - E. Vaile Av,Kokomo,40.481347,-86.109688,America/Indiana/Indianapolis,"o3,pm25",False,True,2026-03-03T11:00:00Z
228,Fishers,Indianapolis,39.960884,-85.939546,America/Indiana/Indianapolis,pm25,False,True,2026-03-02T10:00:00Z
229,Caddo Valley,Arkadelphia,34.1795,-93.0988,America/Chicago,o3,False,True,2026-03-03T11:00:00Z
230,Barstow,Riverside-San Bernardino-Ontario,34.894054,-117.024756,America/Los_Angeles,"o3,pm10",False,True,2026-03-03T11:00:00Z
231,Lucerne Valley,SAN BERNARDINO,34.4101,-116.906874,America/Los_Angeles,"o3,pm10",False,True,2026-03-03T11:00:00Z
232,Trona - Athol and Te,Riverside-San Bernardino-Ontario,35.774455,-117.372109,America/Los_Angeles,"o3,pm10",False,True,2026-03-03T11:00:00Z
233,Spokane Valley-E Bro,Spokane,47.663962,-117.25765,America/Los_Angeles,"pm10,pm25",False,True,2026-03-03T11:00:00Z
234,Enterprise - US Fore,WALLOWA,45.426351,-117.296066,America/Los_Angeles,pm25,False,True,2026-03-03T11:00:00Z
235,"Anand Vihar, New Delhi - DPCC",WALLOWA,28.646835,77.316032,Asia/Kolkata,"co,co,no,no2,no2,nox,o3,o3,pm10,pm10,pm25,pm25,relativehumidity,so2,so2,temperature,wind_direction,wind_speed",False,True,2026-03-03T10:30:00Z
236,"Mandir Marg, Delhi - DPCC",WALLOWA,28.6341,77.2005,Asia/Kolkata,"co,no2,o3,pm10,pm25,so2",False,True,2018-02-21T21:15:00Z
237,San Ysidro,WALLOWA,32.543475,-117.029028,America/Los_Angeles,pm25,False,True,2016-03-22T15:00:00Z
238,Maryland Heights,WALLOWA,38.7108,-90.4758,America/Chicago,o3,False,True,2016-03-22T23:00:00Z
239,Alamo Lake,LA PAZ,34.243889,-113.558611,America/Phoenix,"o3,pm10,pm25,so2",False,True,2026-03-03T11:00:00Z
240,Waterbury,New Haven-Milford,41.5503,-73.0442,America/New_York,"pm10,pm25",False,True,2026-03-03T11:00:00Z
241,Pernis-Soetemanweg,New Haven-Milford,51.8879,4.38881,Europe/Amsterdam,"no2,pm10",False,True,2016-03-23T14:00:00Z
242,Potawatomi,FOREST,45.5639,-88.81,America/Chicago,"no2,o3,pm25,so2",False,True,2026-03-03T11:00:00Z
243,ELDOSPGS,FOREST,37.695801,-94.037498,America/Chicago,"o3,pm25",False,True,2016-03-23T19:00:00Z
244,Liberty,Kansas City,39.303056,-94.376389,America/Chicago,"o3,pm25",False,True,2026-03-03T11:00:00Z
