city,latitude,longitude,pollutant,value,last_updated,distance_to_road_m,distance_to_industry_m,distance_to_farmland_m,distance_to_dump_m,temperature,humidity,wind_speed,wind_direction,hour,month,day_of_week
"BTM Layout, Bengaluru - CPCB",12.9135218,77.5950804,no2,21.55,2026-03-03 12:30:00+00:00,2.52,29.0,3330.52,2659.39,20.76,64,5.74,94,12,3,1
"Golden Temple, Amritsar - PPCB",31.62,74.876512,co,0.51,2026-03-03 12:30:00+00:00,7.14,1751.34,3919.81,5000.0,22.05,22,1.06,291,12,3,1
"Golden Temple, Amritsar - PPCB",31.62,74.876512,pm25,18.26,2026-03-03 12:30:00+00:00,7.14,1751.34,3919.81,5000.0,22.05,22,1.06,291,12,3,1
"Golden Temple, Amritsar - PPCB",31.62,74.876512,so2,10.22,2026-03-03 12:30:00+00:00,7.14,1751.34,3919.81,5000.0,22.05,22,1.06,291,12,3,1
"Golden Temple, Amritsar - PPCB",31.62,74.876512,pm10,41.1,2026-03-03 12:30:00+00:00,7.14,1751.34,3919.81,5000.0,22.05,22,1.06,291,12,3,1
"Golden Temple, Amritsar - PPCB",31.62,74.876512,o3,45.88,2026-03-03 12:30:00+00:00,7.14,1751.34,3919.81,5000.0,22.05,22,1.06,291,12,3,1
"Golden Temple, Amritsar - PPCB",31.62,74.876512,no2,19.49,2026-03-03 12:30:00+00:00,7.14,1751.34,3919.81,5000.0,22.05,22,1.06,291,12,3,1
"Collectorate, Gaya - BSPCB",24.7955,84.9994,no2,6.4,2026-03-03 08:00:00+00:00,7.28,2973.65,1077.24,5000.0,24.84,52,2.69,100,8,3,1
"Collectorate, Gaya - BSPCB",24.7955,84.9994,so2,22.6,2026-02-25 02:00:00+00:00,7.28,2973.65,1077.24,5000.0,24.84,52,2.69,100,2,2,2
"Collectorate, Gaya - BSPCB",24.7955,84.9994,pm25,37.0,2026-03-03 08:00:00+00:00,7.28,2973.65,1077.24,5000.0,24.84,52,2.69,100,8,3,1
"Collectorate, Gaya - BSPCB",24.7955,84.9994,o3,18.0,2026-03-03 08:00:00+00:00,7.28,2973.65,1077.24,5000.0,24.84,52,2.69,100,8,3,1
"Collectorate, Gaya - BSPCB",24.7955,84.9994,co,0.89,2026-03-03 08:00:00+00:00,7.28,2973.65,1077.24,5000.0,24.84,52,2.69,100,8,3,1
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,pm25,688.36,2026-03-03 12:30:00+00:00,8.97,0.0,5000.0,5000.0,28.18,21,0.82,238,12,3,1
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,so2,17.85,2026-03-03 12:30:00+00:00,8.97,0.0,5000.0,5000.0,28.18,21,0.82,238,12,3,1
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,o3,87.61,2026-03-03 12:30:00+00:00,8.97,0.0,5000.0,5000.0,28.18,21,0.82,238,12,3,1
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,pm10,56.06,2026-03-03 12:30:00+00:00,8.97,0.0,5000.0,5000.0,28.18,21,0.82,238,12,3,1
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,no2,9.05,2026-03-03 12:30:00+00:00,8.97,0.0,5000.0,5000.0,28.18,21,0.82,238,12,3,1
"MIDC Khutala, Chandrapur - MPCB",19.9775302,79.2337086,co,0.7625,2026-03-03 12:30:00+00:00,8.97,0.0,5000.0,5000.0,28.18,21,0.82,238,12,3,1
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,pm10,140.78,2026-03-03 12:30:00+00:00,164.18,901.3,5000.0,5000.0,21.62,91,2.91,97,12,3,1
"Talcher Coalfields,Talcher - OSPCB",20.9360711,85.1707021,pm25,93.97,2026-03-03 12:30:00+00:00,164.18,901.3,5000.0,5000.0,21.62,91,2.91,97,12,3,1
