country,state,city,station,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg
India,Haryana,Manesar,"Sector-2 IMT, Manesar - HSPCB",28.360699,76.93609,CO,10,22,14
India,Haryana,Narnaul,"Shastri Nagar, Narnaul - HSPCB",28.060249,76.113115,NO2,50,95,64
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,PM2.5,44,62,52
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,NO2,23,24,24
India,Haryana,Palwal,"Shyam Nagar, Palwal - HSPCB",28.1485564,77.3320667,CO,14,51,30
India,Haryana,Panchgaon,"Amity University, Panchgaon - IITM",28.3153,76.9143,NH3,4,6,5
India,Haryana,Panchkula,"Sector-6, Panchkula - HSPCB ",30.7057778,76.85318056,NO2,24,26,25
India,Gujarat,Vatva,"Phase-4 GIDC, Vatva - GPCB",22.969611,72.6435,O3,30,46,46
India,Haryana,Bahadurgarh,"Arya Nagar, Bahadurgarh - HSPCB",28.6701,76.9254,NO2,12,14,13
India,Haryana,Ballabgarh,"Nathu Colony, Ballabgarh - HSPCB",28.3419248,77.319699,NH3,3,3,3
India,Haryana,Bhiwani,"H.B. Colony, Bhiwani - HSPCB",28.806223,76.141105,O3,7,18,14
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653,PM2.5,158,214,183
India,Haryana,Charkhi Dadri,"Mini Secretariat, Charkhi Dadri - HSPCB",28.593883,76.270653,NO2,9,24,15
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21.755417,72.139056,CO,118,146,119
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,PM2.5,NA,NA,NA
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,NO2,NA,NA,NA
India,Gujarat,Gandhinagar,"IIPHG Lekawada, Gandhinagar - IITM",23.243639,72.68994,NH3,NA,NA,NA
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",23.221714,72.654328,PM2.5,57,302,152
India,Gujarat,Gandhinagar,"Sector-10, Gandhinagar - GPCB",23.221714,72.654328,CO,48,71,55
India,Gujarat,Mehsana,"Sadanand Nagar, Mehsana - Nexteng Enviro",23.59315,72.372792,NH3,1,3,3
India,Haryana,Hisar,"Urban Estate-II, Hisar - HSPCB",29.14056,75.744941,NO2,26,27,27
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",29.6953,77.0027,PM2.5,13,305,190
India,Haryana,Karnal,"Sector-12, Karnal - HSPCB",29.6953,77.0027,NH3,6,6,6
India,Haryana,Kurukshetra,"Sector-7, Kurukshetra - HSPCB",29.966942,76.875879,CO,15,76,24
India,Haryana,Mandikhera,"General Hospital, Mandikhera(Nuh) - HSPCB",27.9002,76.9938,O3,22,32,27
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201,SO2,10,66,28
India,Gujarat,Ahmedabad,"SAC ISRO Satellite, Ahmedabad - IITM",23.023389,72.515201,O3,4,67,52
India,Gujarat,Ahmedabad,"SVPI Airport Hansol, Ahmedabad - IITM",23.076793,72.627874,SO2,6,18,10
India,Gujarat,Ankleshwar,"GIDC, Ankleshwar - GPCB",21.613267,73.010555,SO2,19,25,24
India,Gujarat,Bhavnagar,"Vidhyanagar, Bhavnagar - Nexteng Enviro",21.755417,72.139056,SO2,18,67,30
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997,PM2.5,100,303,195
India,Haryana,Dharuhera,"Municipal Corporation Office, Dharuhera -  HSPCB",28.2068,76.7997,NH3,NA,NA,NA
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",28.4417,77.3217,PM2.5,86,92,88
India,Haryana,Faridabad,"Sector 30, Faridabad - HSPCB",28.4417,77.3217,NO2,36,39,38
