city,latitude,longitude,datetimeUtc,Temperature,Humidity,Wind Speed,Wind Direction
Pune,18.530085,73.849598,2025-03-02T18:00,26.4,33,4.7,272
Pune,18.530085,73.849598,2025-03-02T19:00,25.3,35,2.2,215
Pune,18.530085,73.849598,2025-03-02T20:00,24.7,36,2.8,230
Pune,18.530085,73.849598,2025-03-02T21:00,24,37,3.2,243
Pune,18.530085,73.849598,2025-03-02T22:00,23.8,37,1.5,240
Pune,18.530085,73.849598,2025-03-02T23:00,23.4,37,0.6,214
Srinagar,34.06621,74.81982,2025-02-20T00:00,0.5,93,2.7,37
Srinagar,34.06621,74.81982,2025-02-20T01:00,-0.2,86,2.7,340
Srinagar,34.06621,74.81982,2025-02-20T02:00,0.1,95,6.7,289
Srinagar,34.06621,74.81982,2025-02-20T03:00,0.2,95,5.6,345
Srinagar,34.06621,74.81982,2025-02-20T04:00,0.1,95,11.8,282
Srinagar,34.06621,74.81982,2025-02-20T05:00,0,99,7.8,304
Srinagar,34.06621,74.81982,2025-02-20T06:00,0.9,94,6.3,305
Srinagar,34.06621,74.81982,2025-02-20T07:00,1,93,8.4,280
Srinagar,34.06621,74.81982,2025-02-20T08:00,1.9,86,5.2,266
Srinagar,34.06621,74.81982,2025-02-20T09:00,1.5,86,6.1,282
Srinagar,34.06621,74.81982,2025-02-20T10:00,1,86,3.5,242
Srinagar,34.06621,74.81982,2025-02-20T11:00,0.9,90,2.4,283
Srinagar,34.06621,74.81982,2025-02-20T12:00,-0.1,94,2.6,231
Srinagar,34.06621,74.81982,2025-02-20T13:00,0.4,94,1.9,124
Srinagar,34.06621,74.81982,2025-02-20T14:00,0.6,95,4.5,92
Srinagar,34.06621,74.81982,2025-02-20T15:00,0.2,94,1.5,83
Srinagar,34.06621,74.81982,2025-02-20T16:00,0.2,95,3.6,123
Srinagar,34.06621,74.81982,2025-02-20T17:00,0.2,95,1.4,113
Srinagar,34.06621,74.81982,2025-02-20T18:00,-0.4,97,0.4,90
Srinagar,34.06621,74.81982,2025-02-20T19:00,-0.5,97,1,338
Srinagar,34.06621,74.81982,2025-02-20T20:00,-1,99,4.2,227
Srinagar,34.06621,74.81982,2025-02-20T21:00,-1.1,97,1.8,45
Srinagar,34.06621,74.81982,2025-02-20T22:00,-1.1,96,0.6,162
Srinagar,34.06621,74.81982,2025-02-20T23:00,-0.9,96,1.5,277
Srinagar,34.06621,74.81982,2025-02-21T00:00,-0.6,94,2.5,240
Srinagar,34.06621,74.81982,2025-02-21T01:00,-0.8,99,1.4,247
Srinagar,34.06621,74.81982,2025-02-21T02:00,-0.9,98,0.4,90
Srinagar,34.06621,74.81982,2025-02-21T03:00,-0.2,99,1.4,130
Srinagar,34.06621,74.81982,2025-02-21T04:00,0.4,99,3.1,225
Srinagar,34.06621,74.81982,2025-02-21T05:00,0.6,98,3.6,225
Srinagar,34.06621,74.81982,2025-02-21T06:00,2,88,1.5,144
